Group number,Relative Separation [kpc],Relative Velocity [km/s],Pair Type
2931.0,273.20790636366337,140.7065905332625,Major
3321.0,252.33317836405138,44.67506169280283,Major
3380.0,476.9642494429789,163.39504342317983,Major
3447.0,264.5312129757552,115.19867761007963,Major
3599.0,288.9378129354514,75.35566263656905,Major
3704.0,328.752719409159,98.52444109373991,Major
3768.0,333.97552374474196,285.79717554271303,Major
4020.0,325.4444432398248,177.598152129662,Major
4054.0,329.7607232791664,76.00197700800942,Major
4093.0,350.14103742220465,39.883288584211776,Major
4257.0,356.7941477283586,141.03029460001815,Major
4312.0,310.97493343297464,123.5775007902974,Major
4474.0,261.94092802980555,81.789500197766,Major
4490.0,194.72912068423938,97.68548571769585,Major
4570.0,303.73923292221406,141.170807634993,Major
4616.0,376.1622186705675,63.16697368091257,Major
4636.0,242.19272992787063,81.54798613626646,Major
4637.0,240.709981488973,774.0998833947066,Major
4686.0,139.75880688381793,88.85862281347144,Major
4700.0,255.36334820520108,55.25877982692751,Major
4733.0,277.9482386947383,220.6374700569087,Major
4740.0,378.5182757445064,118.88976327131249,Major
4791.0,318.4788371251549,84.44042170327239,Major
4864.0,247.3042547079183,96.13810352395276,Major
4865.0,291.538630860377,15.370529121149065,Major
4873.0,283.3809461203245,77.03907283907469,Major
4891.0,224.83839983965288,187.72743664658327,Major
4894.0,215.91148758562113,99.32078402115332,Major
4926.0,272.3903086477306,152.5633617953891,Major
4948.0,229.34335540403214,132.60366403677628,Major
4955.0,307.957189219382,74.87363474392696,Major
4974.0,350.44200769949026,397.54429198061234,Major
4988.0,120.514894008395,184.773751252252,Major
5045.0,332.42339236798216,84.828395807692,Major
5183.0,260.3318608698494,74.21272641964735,Major
5244.0,142.0582294819198,112.30558325361166,Major
5277.0,241.55558831929193,248.53578340415294,Major
5344.0,178.3048623748805,118.84869886044528,Major
5345.0,142.45248635090434,94.36539960758023,Major
5353.0,198.14812396835927,58.38258422292675,Major
5432.0,356.7182312088808,80.00370310445525,Major
5436.0,333.556258367677,56.73865140925133,Major
5471.0,268.6362523197457,83.25102919759618,Major
5550.0,214.1696021872369,79.71095365778024,Major
5609.0,91.36264284464534,50.009628239419676,Major
5697.0,191.13128554251526,44.84859414654991,Major
5724.0,198.77740926342645,84.78412807806271,Major
5779.0,148.01153029799113,96.79540789065948,Major
5793.0,354.1928254784746,36.73201276841027,Major
5811.0,347.5599482999836,52.996116217142216,Major
5854.0,95.09963894458424,82.67151941582554,Major
5864.0,208.2859888951241,428.5319400994487,Major
5879.0,403.2798297298695,38.703531014540836,Major
5930.0,225.26744007527722,120.56633682528721,Major
5980.0,213.19450439164632,84.55649270386769,Major
6007.0,68.71397594937145,52.17467495137711,Major
6033.0,216.42555826146662,73.52942786156926,Major
6158.0,300.3528970317432,64.18834151973412,Major
6165.0,186.97583717373502,101.64540057607087,Major
6168.0,160.71653430357696,44.26732859640767,Major
6226.0,94.62460273307838,94.55076361150773,Major
6280.0,252.66657257222198,161.6997822109993,Major
6309.0,70.621387045473,40.48143308538608,Major
6311.0,239.8462696981348,64.40986830715902,Major
6322.0,194.6359027363842,94.45792996535444,Major
6428.0,58.8160767634849,61.332686217332416,Major
6431.0,219.74365415984974,233.38767992581106,Major
6440.0,292.2300715562922,53.43288337101573,Major
6465.0,52.558289362191594,70.2664450266431,Major
6485.0,65.02215431955037,61.402526829119964,Major
6529.0,168.32836513024355,81.28211335390317,Major
6530.0,250.8333635119897,63.08472422099864,Major
6536.0,306.61605960773346,65.64300407800772,Major
6622.0,72.60751710080692,81.0056724271839,Major
6651.0,233.41088648402587,115.03937579406094,Major
6669.0,249.31264025923676,70.09343538941182,Major
6697.0,77.15719841564652,53.25728636104182,Major
6760.0,263.6791175923532,72.20504669166819,Major
6787.0,276.8700189496094,65.83957931890681,Major
6891.0,250.35833972201777,69.39247077966613,Major
6922.0,247.0402442482623,604.6269189147565,Major
7008.0,43.242016019291825,69.3047372476641,Major
7059.0,200.9181266151933,325.543958396917,Major
7066.0,67.16247191692014,8.125960579737141,Major
7074.0,19.25038128622457,55.61680217676818,Major
7078.0,292.6259738904863,64.58944708660154,Major
7122.0,112.88088260893635,219.58442038129445,Major
7178.0,235.09588730991425,112.43400006733694,Major
7240.0,300.18474017746445,69.79620619623404,Major
7242.0,45.727874067452234,70.62279599665283,Major
7256.0,135.81895140987262,87.05073376794284,Major
